last_sync_date,last_sync_version,prod_key,shipment_id,stock_key,shipped_units,from_dt,to_dt
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000069,87e59d37383f868a41f51e2e5e561500031f28de554709511572def19c895ec8,30000050184,100,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000031,11806031326059c2207b52894ea08170eb496ddb7059ac70540705db4e28fe4e,30000002060,100,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000009,c56cf6ebd7a743b5bf3f573a0e94875c98caa657b30d4168bc6beca88af37700,30000002388,100,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000009,c56cf6ebd7a743b5bf3f573a0e94875c98caa657b30d4168bc6beca88af37700,30000000765,150,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000002,752de236b087e9cf6de1cf35231bf38c3790ea50eb5d040975412220c8655c0f,30000000993,50,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000031,11806031326059c2207b52894ea08170eb496ddb7059ac70540705db4e28fe4e,30000001543,200,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000032,6adf76ed54b86f2422536b90052f13a4cebd93465f1bfb91bb66cb4666ef1a6d,30000000993,100,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:00:00.000000Z,69bae2ce49d6b816891df9986f6920038f18167985a2927aa7fc570fd9f86ac5,1000000000069,87e59d37383f868a41f51e2e5e561500031f28de554709511572def19c895ec8,30000004595,100,2023-09-30T23:57:00.000000Z,2023-10-01T00:00:00.000000Z
2023-10-01T00:03:00.000000Z,35274bf2b9d30a2d67ff8360373745276f6225562f19184063017e0de60d6dca,1000000000069,253585506364e57b32ea437feda30f0ca3eb98724750bce9498ed29081e958f4,30000000993,400,2023-10-01T00:00:00.000000Z,2023-10-01T00:03:00.000000Z
2023-10-01T00:03:00.000000Z,35274bf2b9d30a2d67ff8360373745276f6225562f19184063017e0de60d6dca,1000000000055,c6971172ac53dbc411c01787c9af7892dde7fe6bb128ae654993ab21c6834d72,30000000765,100,2023-10-01T00:00:00.000000Z,2023-10-01T00:03:00.000000Z
